accuracy,loss,split
0.984457738617415,0.04180156478589292,train
0.986212850944604,0.0370625115882483,train
0.9878509557833137,0.03268878072340269,train
0.9881642425115207,0.031454312385574196,train
0.9891860412287822,0.029072865551751044,train
0.989643803870623,0.02791955061419393,train
0.9906544018817204,0.025559349104449312,train
0.9910418933483496,0.024189153676587475,train
0.9916736671040135,0.02288759248301683,train
0.9921892334330833,0.02139425665553149,train
0.6921408947633237,2.1979402225844713,val
0.6959625195483772,2.471018604842984,val
0.659818975779475,2.5744671787534443,val
0.6629243524707094,2.559350945998211,val
0.6605474883196305,2.7344777895479786,val
0.6733295722883574,2.3776346819741385,val
0.6547046702735279,2.6150816484373443,val
0.6676658163265307,2.793492339581859,val
0.673712225349582,2.860651841455576,val
0.6863716641250922,2.430768650405261,val
